ssn_org,ssn_org_cln
006277786,006277786
0d069-0646HI4,INVALID
0.095455,INVALID
001038639,001038639
00640-6842,006406842
007-27-0619,007270619
007-153513,007153513
006.280,INVALID
0062.82,INVALID
0032.99660,003299660
00.972726,00972726
001-15-5875,001155875
001873-324,001873324
005873269,005873269
008-82-9876,008829876
0k.04996S1v42,INVALID
0052455-43,005245543
006156013,006156013
009087.13,00908713
004301865,004301865
0073.63827,007363827
001909245,001909245
006999-2,0069992
0.04422280,INVALID
0016137.35,INVALID
004-60-7302,004607302
004-46-5988,004465988
0027564.42,INVALID
004-78-6141,004786141
00430-v6475U,INVALID
0I03-5271w46,INVALID
005519.162,005519162
00225965-8,002259658
00745.2730,007452730
009.758,INVALID
00-8137426,008137426
0.04125721,INVALID
0.09590211,INVALID
004025649,004025649
C0.0943V95C15,INVALID
008622246,008622246
005633110,005633110
0.08590113,INVALID
0090903-75,009090375
001-06-2146,001062146
005-77-3013,005773013
002-39-1918,002391918
0.05020917,INVALID
0019-184,0019184
008-96-3912,008963912
008.195015,008195015
0o0J8.J134427,0008J134427
0601401.9,06014019
004-15-6933,004156933
0012-74,INVALID
009-52-2895,009522895
0058620-61,005862061
009-93-8702,009938702
03.06287,INVALID
00m-2346k624,INVALID
001-23-3432,001233432
0-05862p932,005862932
00.3617137,003617137
0058-73004,005873004
00.8015,INVALID
001653771,001653771
009997534,009997534
007643591,007643591
001-85-9258,001859258
003294617,003294617
001-49-4194,001494194
007J26-86rN66,INVALID
009126.560,009126560
0a0-1640b908,INVALID
008007817,008007817
00f53265.3do9,INVALID
004227801,004227801
003-90-9107,003909107
0078.01015,007801015
006-8659,0068659
002-71-7329,002717329
003144230,003144230
00469-4259,004694259
00966361.C8,INVALID
0622.23,INVALID
00-53204,INVALID
0057-06910KsH,INVALID
007108154,007108154
002-34-8352,002348352
007079685,007079685
0001.12,INVALID
070.75035,07075035
003-8978,0038978
0071-71399,007171399
005804379,005804379
00-5154645,005154645
005-76-2904,005762904
001.796925,001796925
001482-721,001482721
004s274.551,004274551
0025-09791,002509791
007056.926,007056926
009219757,009219757
016337.20,INVALID
00384H.9120v,INVALID
008-064229,008064229
006139910,006139910
001-78-4236,001784236
007959274,007959274
0098.140,INVALID
006w-223958,006223958
0057592-74,005759274
0g0306395.y4,INVALID
02315.89,INVALID
00287743.3,INVALID
00754H.ld1587,INVALID
009282266,009282266
001907.882,001907882
006-09-9792,006099792
005097.511,005097511
0.01560574,INVALID
002585362,002585362
004-78-5333,004785333
00-48766,0048766
001-27-5153,001275153
008751798,008751798
008157050,008157050
00275-8249,002758249
004660450,004660450
002-60-6747,002606747
005-60-0052,005600052
007558116,007558116
0128.33,INVALID
006564378.eU,INVALID
007-11-6340,007116340
007692145,007692145
W0057.a47900,005747900
001739576,001739576
001896150,001896150
001062146,001062146
009-18-0971,009180971
51529.48,INVALID
0019.51685,INVALID
0050E0032n-6A,INVALID
0.07403444,INVALID
004-30350,00430350
008694848,008694848
0037756.66,INVALID
0065.75036,006575036
0027.54299,002754299
00667975-4,00667975
0094997.19,009499719
004393110,004393110
0-02713114,002713114
007643501,007643501
01.71273,INVALID
0-02549764,002549764
00963293X-rS1,INVALID
009532585,009532585
001477917,001477917
00n.9n494007,INVALID
00-2985245,002985245
006604292,006604292
003-38-5061,003385061
00.2590R848kg,INVALID
007376976,007376976
002641578,002641578
002833160,002833160
007174287,007174287
00313-2816,003132816
006406842,006406842
005283.9,INVALID
006-62-7612,006627612
00196.016,INVALID
006809060,006809060
00530.fK4520,INVALID
00-2769992,002769992
0062.14635,006214635
009-76-9183,009769183
0-0750055,00750055
002-89-8109,002898109
004502625,004502625
00737154.0,007371540
008960408,008960408
002-409913,002409913
001-83-6769,001836769
00-6660713,006660713
009-46-9594,009469594
001-60-0406,001600406
0020.6310,00206310
006-86-8434,006868434
009-44-3152,009443152
00.1338387,001338387
002644-0,INVALID
002-17-6080,002176080
00.2314192,002314192
001-31-9143,001319143
00175.78m92f,INVALID
0-08325896,008325896
002477-8,INVALID
003.258823,003258823
002898I10-9,0028981109
005102481,005102481
009.374843,009374843
02573.14,INVALID
004-56-7877,004567877
003-74-4625,003744625
00539086.9,005390869
001-68-3498,001683498
004033021,004033021
0041050.56,INVALID
0.01701634,INVALID
00928u.8363,009288363
004-242a408,INVALID
009951759,009951759
008100.458,008100458
0168.56,INVALID
008051.61,00805161
001292016,001292016
003-17-8512,003178512
009100309,009100309
0039984.85,INVALID
00A3-T823824,INVALID
002-44-0497,002440497
00.1599068,001599068
00680-0S94z0c,INVALID
002-412896,002412896
005-15-9551,005159551
00180J62.58,001806258
0060632-90,006063290
0037.14025,003714025
008762845,008762845
0935740-1,09357401
0w04388-4R15,INVALID
006633066,006633066
008819271,008819271
009520.77,INVALID
00122-1508,001221508
00580650.9,005806509
030-850,INVALID
0Gq.06838082,INVALID
0-04494971,04494971
b004-406047a,INVALID
001-95-7951,001957951
0-0370928u3,INVALID
0039G41Q.4w14,INVALID
00.50533,INVALID
002475030,002475030
003-06-2312,003062312
005671162,005671162
00107.2481,001072481
00218330-2,002183302
0-06450926,006450926
sj0-0409150l5,INVALID
0025858.10,00258584
004-02-8168,004028168
0006395-4,00063954
006-65-5386,006655386
00T13.820k74,INVALID
03401.2,INVALID
009-21-2160,009212160
0016.88305,001688305
00819707-2,008197072
008637078,008637078
0078605-53,007860553
0.0j8Q959237q,INVALID
007541438,007541438
006-49-5794,006495794
00-7546033,007546033
00.397891,00397891
006321-289,006321289
008-26-6517,008266517
004-54-9599,004549599
00-95950,INVALID
0-290798,0290798
002955568,002955568
0-h0E2804586,INVALID
008-61-2352,008612352
002793465,002793465
003-05-2271,003052271
007.273525,007273525
004-67-2704,004672704
004-84-5822,004845822
00-3421596,003421596
002-35-7488,002357488
008-71-3154,008713154
001-78-3916,001783916
c0-07O402446,070402446
000296-9,0002969
008630407,008630407
0020-51940,002051940
008-35-2969,008352969
00-9629,009629
004644.0,INVALID
00-97955,INVALID
001-97-5078,001975078
004-801307,004801307
0v0523005-i3,INVALID
0.09212160,INVALID
00-1941344,001941344
004127654,004127654
077.912,INVALID
0010Q6.7529,001067529
009742-460,009742460
002.309779,002309779
008710090,008710090
00795X028.5,00795028
00-5005298,005005298
006-53-4956,006534956
001746-93,00174693
00387707.2,INVALID
00.3265329,003265329
001368790,001368790
002876373,002876373
02-92768,0292768
0099-54424,009954424
007376796,007376796
008-53-0789,008530789
005509.445,005509445
001752.64,INVALID
00177L5pL48.5,INVALID
007-15-8367,007158367
008-97-0508,008970508
003353-696,003353696
009415.905,009415905
002782706,002782706
00501.4690,005014690
003-742,INVALID
00572-4113,005724113
008-787123,008787123
0.870855,INVALID
004200937,004200937
0lbQ07769.362,INVALID
009-72-7241,009727241
005-251018,005251018
001653650,001653650
00357-8923,003578923
007-62-3718,007623718
0-01778943,001778943
008-67-6751,008676751
002-06-9851,002069851
0062.71391,006271391
00382.1914,003821914
005065678,005065678
0012621.98,INVALID
008-72-4895,008724895
0076748r6N.1,INVALID
0-03699985,003699985
008-120742,008120742
00494-1527,004941527
005-67-3561,005673561
002-z836r04M2,INVALID
0-e02378J871,INVALID
006-84-7669,006847669
0064482-03,006448203
007833847,007833847
00799-0p227,007990227
008-36-5405,008365405
00254803-1,002548031
0J0643.9306,INVALID
006539267,006539267
009304390,009304390
004-46-5176,004465176
005-46J24o31,0054624031
004399077,004399077
00Ke23897s8-9,INVALID
002-14-2191,002142191
004.53020,00453020
002.8167,INVALID
00-9028804,009028804
009692.195,009692195
004647429,004647429
002169575,002169575
007-33-3388,007333388
0-03781457,003781457
003.880325,003880325
0058182.48,INVALID
00c-7973786,007973786
002-54-8505,002548505
0-04285333,004285333
007-378751,007378751
008-47-1872,008471872
008-19-1308,008191308
0.52303,INVALID
0-0D62A79U390,00362A79U390
001-06-8495,001068495
002059611,002059611
z0-0I3406398,003406398
00508.5202,005085202
007647222,007647222
002472.763,002472763
0I0312J-24L97,INVALID
004589425,004589425
003227618,003227618
006-16-9888,006169888
005-53-8061,005538061
0-02456313,002456313
001TI5.67566,INVALID
0014041.01,INVALID
0038814-29,003881429
008666274,008666274
00-8472395,008472395
0-05981860,005981860
003f-832742,003F832742
0011580-87,001158087
e00-10S334p39,INVALID
008084-076,008084076
0-02785,INVALID
008673667,008673667
0i0331A7.0b97,INVALID
0070268.73,INVALID
004-43-6636,004436636
003563502,003563502
003I3a3507.c5,INVALID
008-99-2443,008992443
0-01nf7D91556,INVALID
004658122,004658122
004-38-8415,004388415
00.8179546,008179546
0034.91973,003491973
0066023.25,INVALID
005058657,005058657
005748895,005748895
0069.04829,006904829
006-65-2659,006652659
00.3599920,INVALID
004066673,004066673
00199.7842,001997842
06-563591,06563591
0657025.5,06570250
002-55-4490,002554490
009.249550,009249550
006406.4,INVALID
00897o6.405,0089706405
0011871-47,001187147
0027-29395,002729395
009090-375,009090375
005-37-2755,005372755
K00M5-999935,INVALID
0073721.34,007372134
009143026,009143026
001808.102,001808102
0064-49155XL,INVALID
006073.547,006073547
005659438,005659438
004525087,004525087
0-07265542,007265542
009-17-2360,009172360
005-88-3037,005883037
009946374,009946374
002-148,INVALID
002-O099H969,0020999969
008-12-4196,008124196
003N434-805,003n434805
001857446,001857446
005-35-1117,005351117
0.54686,INVALID
0G0176317-9,0G0176317
00892L2-794,008922794
0059443-2,00594432
008280519,008280519
004-86-6174,004866174
007343200,007343200
00930439-0,009304390
008676C.L855,INVALID
0M0p-7613110,INVALID
0D0-E87457t68,INVALID
008-89-0472,008890472
0.08103556,INVALID
004779732,004779732
0091255.9,00912559
004314473,004314473
I002n11.2958,INVALID
00351.36M4d1,INVALID
009005916,009005916
0039.34702,INVALID
004-87-7811,004877811
0.07115792,INVALID
03.45570,INVALID
007396511,007396511
0.199157,INVALID
00.487409rS8a,INVALID
001648448,001648448
00705328-0,007053280
008-244083,008244083
001273774,001273774
002453708,002453708
006401104,006401104
003440-704,003440704
002142-191,002142191
00224518.7,002245187
003-84-1196,003841196
009-46-4534,009464534
008778-791,008778791
009B93055.0,INVALID
00704-831,00704831
002-93-3806,002933806
0286-0658,02860658
005-411723,005411723
0065-8478,00658478
0q0329.2852,INVALID
0066588-19,006658819
005048102,005048102
007920849,007920849
007Z5.56034,007z56034
004.512429,004512429
009606931,009606931
009728952,009728952
004927986,004927986
05-0315,INVALID
006.153593,006153593
009-49-3364,009493364
002-782759,002782759
0033320.72,INVALID
005927v0-c1J4,INVALID
004088325,004088325
004747806,004747806
0.01410662,INVALID
002521424,002521424
0V0-i2549009,INVALID
j0075o.2020I9,INVALID
008-18-2947,008182947
006430053,006430053
003479715,003479715
0048778-11,004877811
008-56-8967,008568967
0039629-1,00396291
0029649.35,002964935
002-62-4259,002624259
005883037,005883037
003238238,03238238
y00118481m.4,00118481M
0.06438614,INVALID
000.876,INVALID
00-8112950,008112950
007-93-4332,007934332
017-1288,0171288
004-96-0734,004960734
00364.323,00364323
005-12-6609,005126609
0027-69992,002769992
00286065-8,002860658
004152694,004152694
0036-37170,003637170
0075543.2,INVALID
008-84-9668,008849668
005-860010,005860010
002-63-7309,002637309
006264858,006264858
00-9588595,009588595
003849361,003849361
004-18-2983,004182983
0.01508618,INVALID
008036011,008036011
0025.9549,INVALID
009-6042,0096042
yc0099996-67,INVALID
00407j.9800,004079800
005251-642,005251642
004089662,004089662
00417-98,INVALID
02-8555,INVALID
003040989,003040989
00249-0175,002490175
0081523.2,00815232
00-8981845,008981845
004293.519,004293519
00583I2k88-7,INVALID
0016485.22,INVALID
002357488,002357488
0.0996663,INVALID
0.09643179,INVALID
005-87-4084,005874084
00304-2449,003042449
0011136.22,001113622
0r0-44398d10,INVALID
003-51-9818,003519818
001-60-9279,001609279
004727836,004727836
001119316,001119316
0082627-31,008262731
03896.8,INVALID
006g5f-30849,INVALID
006-69-4647,006694647
006770229,006770229
003131278,003131278
0015-55493,001555493
006773164,006773164
0w071-32T573e,INVALID
0G08770-240,0G08770240
001352943,001352943
N003-3338s78,INVALID
0-06479260,06479260
00-4955834,004955834
007348v0-94,0073480094
008-96-1937,008961937
006587013,006587013
0021-13338,002113338
008213029,008213029
006-00-1430,006001430
i-004308931,004308931
004982-483,004982483
0017.01634,001701634
00699.1532,006991532
0016.5377,INVALID
006678130,006678130
001760227,001760227
008005.06b7,INVALID
002-58-7303,002587303
00-1988,INVALID
0069.0418,00690418
00764o198-9,007641989
00.3244,INVALID
008279741,008279741
0086838.52,INVALID
006238502,006238502
003-11-6655,003116655
00217.5121,002175121
004-194116,004194116
00.8949U891,008949891
001J-7co72163,INVALID
00878914-r3,INVALID
009848029,009848029
005-06-4212,005064212
0026.092,0026092
007575951,007575951
005-65-1476,005651476
001-63-1372,001631372
002498-970,002498970
001-99-2813,001992813
0020819-91,002081991
001-79-6731,001796731
009-98-1914,009981914
0068741.45,INVALID
0049-1314K4,INVALID
00638566.7,006385667
006-216634,006216634
0059-49552,005949552
07.6661,INVALID
00D58D6.1542W,INVALID
00379218-1,003792181
00.F534p1431z,INVALID
003972176,003972176
008742-OM6m60,0087420660
0.T0984B4514,0984B4514
005-58-5478,005585478
002-10-6991,002106991
007316847,007316847
0047-69955,004769955
008559944,008559944
0078621.04,INVALID
003-10-1142,003101142
00518-8554,005188554
001-03-3153,001033153
00-1765475,001765475
0021.88036,002188036
005974398,005974398
00451286.4,004512864
003-69-8223,003698223
0-4297015,04297015
009130-667,009130667
001-99-6934,001996934
003-91-8781,003918781
002721228,002721228
0047-25037,004725037
008829939,008829939
005-49-1508,005491508
h0h09-01968U0,INVALID
002689.949,002689949
002.292944,002292944
008217-061,008217061
008-77-9868,008779868
009228.763,009228763
005-18-8554,005188554
002-01-4847,002014847
007730783,007730783
002-93-4045,002934045
004-29-8889,004298889
004-44-4208,004444208
0447-413,INVALID
0038.87O133,0038870133
001-99-9914,001999914
00207.6491,002076491
005665340,005665340
0-09357401,009357401
0d07825-469,07825469
0093.67799,009367799
005825-9u82,INVALID
0.08823216,INVALID
009-01-6980,009016980
003-45-5551,003455551
003063954,003063954
001445582,001445582
001-292779,001292779
004449919,004449919
0087.g712n31,INVALID
007618717,007618717
889-161,INVALID
0031.439,0031439
008017720,008017720
005927014,005927014
004452928,004452928
09400.6,INVALID
0055115.45,INVALID
0024v-747l67,INVALID
j00537589.5,INVALID
00gNs38.74442,INVALID
U00z7.79874Q4,INVALID
0.04444422,INVALID
0078357.65,007835765
006-62-5159,006625159
008974046,008974046
Y00vh57.68564,INVALID
0029125-15,002912515
003.512831,003512831
001.18W619TC5,INVALID
00355.7171l,INVALID
002-24639,00224639
005-69-7323,005697323
005142745,005142745
003393576,003393576
008503078,008503078
004646053,004646053
0032143.37,003214337
009354502,009354502
009629961,009629961
005.951046,005951046
0.038387,INVALID
00547763-9,005477639
006155.32,00615532
009440223,009440223
002341624,002341624
005-25-1642,005251642
00380675-7,003806757
00-3199768,003199768
006-76-0867,006760867
0.07343200,INVALID
00760.3236,007603236
0061-52,INVALID
003-84-4231,003844231
001900351,001900351
0-01928,INVALID
002-474737,002474737
041274.31,04127431
009364233,009364233
002038934,002038934
009853965,009853965
0389000.0,038900000
00283.00,INVALID
004-51-4063,004514063
006-88-8719,006888719
0045.49668,004549668
j004232jk-662,INVALID
0-05161756,005161756
003725-2,INVALID
003-27-1147,003271147
0J0J52v742-63,INVALID
007-26-6607,007266607
0.05257846,INVALID
00-1205641,001205641
008F229.74z9d,INVALID
X0.0873E9495,INVALID
004-42-0994,004420994
0027-51042,002751042
0.08652393,INVALID
00493-8262,004938262
003793415,003793415
09.3520,INVALID
002-00-7743,002007743
0033799.59,003379959
006-42-5985,006425985
0.062498,INVALID
005219471,005219471
004.728377,004728377
003-23-8238,003238238
007267695,007267695
005-87-1183,005871183
007.33364,00733364
00638-1,INVALID
004980198,004980198
00-880005,00880005
00-7L593251,INVALID
004-46-5115,004465115
008.46E2311,008462311
0-04d396645,040396645
0-855850,INVALID
047-1624,0471624
002627.4,"INVALID: Input is not a valid social security number. The last two digits must be integers, and not decimals or characters."
007275038,007275038
0027316-37,002731637
005.434533,005434533
003786142,003786142
005871411,005871411
008154584,008154584
001155875,001155875
0.092714,INVALID
003030.961,003030961
02.02381,INVALID
d0030a16.214,INVALID
007712570,007712570
006-31-6880,006316880
039721.76,INVALID
001536415,001536415
0039.82346,INVALID
0.44770,INVALID
006-412593,006412593
003640360,003640360
0Ws0535829.6,0W0535829
01643.201,INVALID
007-94-9417,007949417
003-63-0471,003630471
009494.007,009494007
006988.0,INVALID
002416291,002416291
0013619-00,001361900
0.04400726,INVALID
007-80-1784,007801784
002.589979,002589979
007073.006,007073006
00.7550689,007550689
00103-198,00103198
0-167273,0167273
0b065C31-b276,INVALID
004284271,004284271
004664050,004664050
009-56-4776,009564776
00-1392788f,INVALID
00134550j.5,INVALID
005-03763,00503763
0224.516,INVALID
003-982346,003982346
002320-983,002320983
006-47-3827,006473827
0087-29844,008729844
0022.27,INVALID
0T07-6435G01,INVALID
00-3686486,003686486
005802533,005802533
007-43-2421,007432421
04.71399,INVALID
m0059n0-5607,0059N05607
004274548-o,INVALID
007-26-1504,007261504
00254-8031,002548031
007238277,007238277
009591244,009591244
00s949z-6465,INVALID
0074.53380,007453380
005-66542,00566542
006614340,006614340
0-605959,0605959
038.67346,03867346
008005727,008005727
001-97-6547,001976547
008-30-8454,008308454
00.1779856,INVALID
006.895616,006895616
0318.65,INVALID
008488-739,008488739
0081374-2O6,0081374206
009226588,009226588
0013579.26,INVALID
0083-34292,008334292
004796018,004796018
005967757,005967757
009-08-2964,009082964
009-01-3052,009013052
0028-78328,002878328
007944681,007944681
00.44531t11x,INVALID
00M4-50h3383m,INVALID
004-18182,00418182
009157836,009157836
001419-169,001419169
0006.4351,00064351
004-34-7061,004347061
0M0.4205868,INVALID
W001B120880-k,INVALID
0059985.81,INVALID
00d1-348284,001348284
00655.80,INVALID
001423216,001423216
008523267,008523267
001-351100,001351100
008247696,008247696
001w0M47-185,INVALID
00421390-9,004213909
008815162,008815162
004905729,004905729
003-88-0933,003880933
0055870.10,INVALID
00844-1006,008441006
009615031,009615031
00826.1881,008261881
0015O73x7-17Q,INVALID
05104.017,05104017
004827751,004827751
009b4n6922.E2,INVALID
009.121985,009121985
006-48-4308,006484308
006-42-9775,006429775
007-28-2976,007282976
008-67-6855,008676855
007-64-3501,007643501
005701945,005701945
008-47-1487,008471487
008791.506,008791506
00510770-2,005107702
0491.006,INVALID
0-810474,08104744
0-03108339,003108339
008676855,008676855
00380-6757n,INVALID
0074.3270,00743270
001362480,001362480
0072412-11,007241211
00O567-4f315,INVALID
0064153-87,006415387
0076921-45,007692145
0063969b.49i,INVALID
0061.45184,INVALID
0099j-J56262N,INVALID
0058861.39,005886139
009806497,009806497
00.23006P4R7,INVALID
003995524,003995524
00-4273815,004273815
0053-90869,005390869
008-83-0494,008830494
005863164,005863164
007.712570,007712570
0-05427,INVALID
0.01564113,INVALID
00801434-2,008014342
006.341276,006341276
00310.7497,INVALID
0031.7876,00317876
0-08758918I,INVALID
009-53-3959,009533959
009935501,009935501
00282-8425,002828425
001-482721,001482721
0077-69362,007769362
004-79-1188,004791188
00249210.6,INVALID
005-08-4817,005084817
009238709,009238709
07.2168,INVALID
006-10-8487,006108487
005.85939,00585939
0027.iz1k7332,0027711332
0.67216,INVALID
069977.40,06997740
006480.0,INVALID
00m7539.566U,INVALID
0IAu.06153150,06153150
0c0110817-5ll,INVALID
008530937,008530937
002.275227,002275227
001724-242,001724242
0023424.07,002342407
004-77-1430,004771430
006-53-9267,006539267
008-44-1006,008441006
008762307,008762307
001707268,001707268
007-15-9029,007159029
00-9970784,009970784
003550437,003550437
0-47673,INVALID
003200406,003200406
00705.807,00705807
004953396,04953396
0012174-84,001217484
007-19-0843,007190843
009581882,009581882
00-12152,INVALID
00126.2198,001262198
0939.79,INVALID
009-4919,0094919
0078141-72,007814172
005316895,005316895
004-76-9955,004769955
003742239,003742239
004-50-3763,004503763
0045530-28,004553028
005-307769,005307769
003388644,003388644
008733-127,008733127
001594811,001594811
002-87-9068,002879068
0012587.16,INVALID
007549270,007549270
0095497.72,009549772
007201.088,007201088
001435338,001435338
01-05837,0105837
0L07-82021u4,INVALID
003161282,003161282
006267627,006267627
001005756,001005756
0.07055788,INVALID
003806757,003806757
00-692789,00692789
006373391,006373391
003917.6,INVALID
001-570736,001570736
K00819489-6,00819489
001-94-0059,001940059
007203-6,0072036
003-74-9954,003749954
001-191644,001191644
006306432,006306432
0-p021328c5I4,INVALID
005559150,005559150
002019610,002019610
0084-5574,00845574
001437966,001437966
008831096,008831096
0081b550-H97,INVALID
nm00796.e0716,INVALID
0-04586214,004586214
004683-164,004683164
009-09-5450,009095450
0339-542,INVALID
0050481.02,INVALID
003.653736,003653736
004-66-6456,004666456
0.04616S738M,INVALID
0018344.60,INVALID
0-0947210,00947210
007-24-4498,007244498
0.01449436,INVALID
003-53-0011,003530011
004571325,004571325
006090598,006090598
001-36-1474,001361474
007341340,007341340
0-02481695,02481695
009.5160,00951600
003831644,003831644
0046.6656,INVALID
004-44-3876,004443876
002.754299,002754299
00k6755864.X,006755864
004887463,004887463
m0066c3r16-13,INVALID
00930-8339,009308339
006722475,006722475
003060401,003060401
00329285.2,INVALID
002-37-3047,002373047
004-73-8708,004738708
008352948,008352948
007-18-3634,007183634
00.3375808,INVALID
v00v4-1S53916,INVALID
009999Y31Q-4,INVALID
006298597,006298597
0RIJ02-380049,INVALID
00480-3304,004803304
0-06145184,006145184
003786-387,003786387
002692768,002692768
0058483.35,005848335
034-5716,INVALID
00829-10,0082910
0091864.63,009186463
0005160.3,00051603
003477374,003477374
009778667,009778667
0-08617142,08617142
00470.2714,004702714
002759568,002759568
003-85-9996,003859996
0.06108118,INVALID
00779.54,INVALID
0066143.40,INVALID
008-77-5779,008775779
006182257,006182257
00-1660,INVALID
00839291-8,008392918
004.6656,INVALID
E0010-69447,INVALID
007-67-4861,007674861
004951639,004951639
008097376,008097376
002403112,002403112
007-40-5224,007405224
008h78773.9,008787739
007968527,007968527
00.688754,INVALID
00952.2895,009522895
0-01925909,001925909
0074621.3,INVALID
003-388647,003388647
008-08-4076,008084076
00165365.0,INVALID
004-35-2277,004352277
0-0525sG1v581,INVALID
005-01-5894,005015894
0031.50586,003150586
00be6077-216,INVALID
00120.2389,001202389
006-83-8082,006838082
001613735,001613735
005560-146,005560146
004-85-1919,004851919
009p631G6.92,INVALID
00-6688,INVALID
00101.0993,001010993
0-07690666,007690666
001633502,001633502
00-1353730,001353730
00395583.3,INVALID
002-21-7488,002217488
0071Ws61-6j78,INVALID
001063220,001063220
002682787,002682787
007968926,007968926
00174099-1,001740991
007412-197,007412197
00706.7220,007067220
007-88-5230,007885230
0025873-03,002587303
00v6785316v.q,INVALID
N00849q9.263,N008499263
0035-47239,003547239
0-02142191,02142191
004.429999,INVALID
005490783,005490783
00.833001,INVALID
005-16-1756,005161756
0099413.59,009941359
008685608,008685608
0.01565167,INVALID
0057-26242,005726242
0-07137998,007137998
004152651,004152651
02798-350,02798350
005pl-408761,INVALID
00584428.2,005844282
0058w88k70-5k,INVALID
00-1198435,001198435
00-1831733,001831733
00902-30,0090230
0058-34288,005834288
00798yB1V2-34,INVALID
008304-397,008304397
003169177,003169177
05668.3,INVALID
009-49-4007,009494007
002-39-6464,002396464
008-639324,008639324
006.807130,006807130
00.4597212,004597212
V0z0-117838z8,INVALID
007.8U95e561,007829561
004635093,004635093
005821-964,005821964
0068j090-68,INVALID
004-88-6879,004886879
00-390338,00390338
0.07317665,INVALID
002-75-3253,002753253
008530789,008530789
009-07-2570,009072570
008-06-8653,008068653
001-72b5849F,INVALID
f005.8N05600,INVALID
009705642,009705642
003-07551,00307551
003783221,003783221
002-96-0398,002960398
00922.x87w63s,INVALID
0.069139,INVALID
006807130,006807130
009-84-4003,009844003
008830494,008830494
004361640,004361640
009700396,009700396
00-5411723,005411723
00-3972176,003972176
0084-64129,008464129
y0R08-451682,INVALID
00-49s41384,004941384
006-17-0458,006170458
0049.237,0049237
00U531.7648,INVALID
002173-695,002173695
008255449,008255449
00712-3,0071233
0076-61989,007661989
003877318,003877318
004-42-6085,004426085
008363190,008363190
007560588,007560588
0.06828902,INVALID
0.03907785,INVALID
0072.4807,00724807
0063.31064,006331064
00446-1114,004461114
001499063,001499063
00940.3,INVALID
00974-6416,009746416
00-1772163,001772163
004-40-8316,004408316
009499719,009499719
00.4503673,INVALID
005463142,005463142
0047-46019,004746019
004107733,004107733
001683498,001683498
004-12-5753,004125753
004961123,004961123
002-84-7112,002847112
008291289,008291289
002230507,002230507
003-025555,003025555
00953.6120U,INVALID
0u0-46K2q9032,INVALID
006-01-2229,006012229
002-13-5951,002135951
00079.7,INVALID
00-7191U751,INVALID
008-45-5371,008455371
01-6104,INVALID
0015737-17H,INVALID
069647-5,0696475
00245.3332,002453332
009j200-981,INVALID
0-01796925,001796925
0.09366690,09366690
00147.4022,001474022
00.514583,INVALID
006114411,006114411
B00551z77-31,INVALID
007731950,007731950
006850.30,00685030
008-73-8165,008738165
0063312.79,006331279
002-55-1717,002551717
0040-a92057,INVALID
02-885921,02885921
007641.989,007641989
00829650.1,008296501
004388415,004388415
005475048,005475048
0036-66435,003666435
054-357,INVALID
003270.972,003270972
0-0BA1R065977,INVALID
005-01-5428,005015428
002-02-6323,002026323
00.5230053,005230053
0-0612974,00612974
00mOC9365-093,INVALID
0QB0-4025743,0QB04025743
0065132-86,006513286
0094-72761,009472761
0.01308q335,INVALID
00433203.9,004332039
00.3723611,INVALID
002587303,002587303
009227840,009227840
M00P4.033021,INVALID
00.2549,INVALID
001-92-9783,001929783
2194-71,INVALID
002-94-9800,002949800
009-89-4414,009894414
00Q4523.967,00Q4523967
00-6279930,006279930
005-95-6737,005956737
005783-45,00578345
0-02635113,002635113
00-6882,INVALID
001-13-1584,001131584
00.4033021,004033021
002860-568,002860568
v0078.06K132,0078065132
00-I1297404,INVALID
003252620,003252620
002.20069J5,INVALID
007610W4.09,007610409
0043i15-976,0043115976
002-08-1991,002081991
002805-15,00280515
00H534.0583,INVALID
0-0816768T4,INVALID
00-6631613,006631613
005v-48549N3,00548549N3
007-76-9953,007769953
008291273,008291273
006-83-3996,006833996
i008-p457842,INVALID
0o08.962b560,0008962560
0Yk04653-11g9,INVALID
00848071.5,INVALID
00-5214453,005214453
003041-592,003041592
005084817,005084817
001-00-9128,001009128
007-895119,007895119
0020969-26,002096926
004-025649,004025649
008215027,008215027
0060-14572,006014572
004100885,004100885
002152823,002152823
023-2512,02325122
005-77-2676,005772676
007.99A3i2h55,INVALID
0023-5218,00235218
a0F0824033L.3,INVALID
0084-67493,008467493
00-5891364,005891364
001575.354,001575354
008382361,008382361
007261504,007261504
00C3804.991,INVALID
003-044987,003044987
0B0345269-5,INVALID
026.5137,0265137
0072-17159,007217159
001-13-4992,001134992
008-73-8333,008738333
005-314481,005314481
00-4678830,004678830
00U909.O7986,0090907986
0-781457,07814577
0IP01.175782d,INVALID
00-2244r101,INVALID
009-3879e7K9,INVALID
873-092,INVALID
0-086858,0086858
00y886-9813,008869813
0025713.0,00257130
003.770,INVALID
009324501,009324501
006108487,006108487
003-69-2302,003692302
006350648,006350648
006540863,006540863
0-T05665689,05665689
005-02-0917,005020917
008592830,008592830
007-817298,007817298
007-26-5542,007265542
005860010,005860010
003-79-9242,003799242
00g-c9J607370,INVALID
001-15-8833,001158833
0058435-79,005843579
0074-95965,007495965
001618355,001618355
008.232,INVALID
008-25-1742,008251742
0066666-37,006666637
008-89-4816,008894816
0046-838,0046838
009228739,009228739
001.757J892G,001757892G
009003226,009003226
0-07300376,007300376
00.8640,INVALID
00599-2497,005992497
009-95-4720,009954720
003.91043,00391043
